ticker,bl_return,optimized_weight,sentiment,market_weight,weight_shift
GOOG,0.28658970528336036,0.052067368747605584,0.0490903,0.34481593184415704,-0.29274856309655145
NBIS,0.17517609562879802,0.06570862587393135,0.18801408,0.002367393716376814,0.06334123215755454
AMD,0.2963738439641412,0.09872015994786121,0.24771635,0.032635334880161,0.0660848250677002
LLY,0.17094905716142011,0.14244705982717323,0.15589747,0.08049093443475071,0.061956125392422526
NLR,0.03752753690913509,0.026145819227893642,0.19241902,8.646750346067923e-14,0.026145819227807173
UNH,0.18128446971816387,0.0733897269620541,-0.02450592,0.025927340977854752,0.04746238598419936
ANET,0.23742211661171472,-0.040873314191618375,0.19046178,0.014136830408843185,-0.05501014460046156
AMZN,0.8415308261964228,0.11139774659342504,0.059760876,0.22103205964968478,-0.10963431305625974
NVO,0.11959938971087218,0.06006776401461383,0.1703799,0.02394821985436941,0.03611954416024442
RDDT,0.1513688186061892,-0.05841495527820912,-0.1096826,0.003785150785056827,-0.062200106063265946
MU,0.08050828310805347,-0.008353583244269956,0.19743408,0.03530281972019761,-0.043656402964467565
META,0.14990947889270814,-0.03375146568975081,-0.032257434,0.13517959555116488,-0.1689310612409157
NFLX,0.11542887763695428,-0.06602249617955311,-0.122588746,0.03224238652312463,-0.09826488270267775
ORCL,0.12862747911292177,-0.04058964043977491,-0.056101933,0.04747294198705449,-0.0880625824268294
PATH,0.13062485832604273,0.12205027378226586,0.20062885,0.000663059667117403,0.12138721411514847
